product_id,brand_id,product_name,description,ingredients,highlights
pimprod2016602,65,Velvet Lip Perfector Matte Liquid Lipstick,"BenefitsIntense color and a luminous, soft blur finishLightweight, non-drying formulaKeep lips soft, conditioned and perfectly hydratedMatte lip color without the compromiseExclusive angled, cushion-tip applicatorFormulated Without Parabens, Sulfates, Phthalates, Volatile SiliconesKey IngredientsShea butter and karite conditions, nourishes, and hydrates to protect lips",,
pimprod2017842,49,The Nude Velvety Matte Lipstick,Formulated WithoutParabensSulfates,"Dimethicone, Caprylic/Capric Triglyceride, Polyethylene, Octyldodecanol, Aluminum Hydroxide, Polysilicone-11, Hydrated Silica, Polyhydroxystearic Acid, Synthetic Wax, Disteardimonium Hectorite, Synthetic Beeswax, Dicalcium Phosphate, Fragrance, Copernicia Cerifera (Carnauba) Wax, Triethoxycaprylylsilane, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Ricinus Communis (Castor) Seed Oil, Sodium Hyaluronate, Hydrogenated Castor Oil. May Contain [+/-]: Iron Oxides, Titanium Dioxide, Yellow 5 Lake, Red 7, Iron Oxides, Blue 1 Lake, Red 28 Lake.",
pimprod2018556,4,Jelly Stylo,"BenefitsUpon application, it provides a feeling of great softness that lasts over timeThe extra-shiny finish guarantees a glossy wet look result with medium-low coverageThe gel base and the enveloping polymer create an innovative soft and smooth texture, that gives unprecedented sensationsThis new technology guarantees maximum performanceThe combination of humectants and plant-based amino acids softens the lips for absolute comfortSoft, voluptuous lips, looking as plump and replenishedThe lips are emphasized thanks to the extra-shiny finish","Hydrogenated Polyisobutene, Octyldodecyl Stearoyl Stearate, Vp/Hexadecene Copolymer, Synthetic Wax, Polyethylene, Cera Microcristallina (Microcrystalline Wax /Cire Microcristalline), Caprylic/Capric Triglyceride, Diisostearyl Malate, Mica, Hydrogenated Styrene/Methyl Styrene/Indene Copolymer, Ethylene/Propylene/Styrene Copolymer, Stearalkonium Bentonite, Hydrogenated Styrene/Butadiene Copolymer, Propylene Carbonate, Butylene/Ethylene/Styrene Copolymer, Dicalcium Phosphate, Calcium Aluminum Borosilicate, Dipalmitoyl Hydroxyproline, Lauryl Pca, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide. May Contain: CI 77891 (Titanium Dioxide), CI 77491 - CI 77492 - CI 77499 (Iron Oxides), CI 15850 (Red 6, Red 7, Red 7 Lake), CI 15985 (Yellow 6 Lake), CI 19140 (Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 45410 (Red 28 Lake).",
pimprod2020630,43,Color Sensational Ultimatte Slim Lipstick,"BenefitsNeutral shade with an edgeMore daring & more matteMade with a slim, luxe bullet design for easy application","Dimethicone, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Phenyl Trimethicone, Tridecyl Trimellitate, Hydrogenated Jojoba Oil, Dimethicone Crosspolymer, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Kaolin, Isostearyl Isostearate, Paraffin, Isohexadecane, Nylon-12, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, Polyethylene, Alumina, Synthetic Wax, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Aluminum Hydroxide, Benzyl Alcohol, Silica, Tocopherol, Parfum/Fragrance. May Contain (+/-): Ci 77491, Ci 77492, Ci 77499/Iron Oxides, Ci 77891/Titanium Dioxide, Mica, Ci 45410/Red 28 Lake, Ci 15850/Red 7, Ci 15985/Yellow 6 Lake, Ci 19140/Yellow 5 Lake, Ci 45380/Red 22 Lake, Ci 42090/Blue 1 Lake. Fil D249322/2.","Vegan, Give Back"
pimprod2020713,10,Colour Riche Les Nus Intense Lipstick,BenefitsIntense nude coverage in one strokeColor stays true all day longFeels lightlight on your lipsKey IngredientsInfused with pure caring oils,"Dimethicone, Hydrogenated Polyisobutene, Polyethylene, Trimethyl Pentaphenyl Trisiloxane,Octyldodecyl Neopentanoate, Sucrose Acetate Isobutyrate, Stearyl Heptanoate, Trimethylsiloxysilicate, Stearyl Caprylate, Argania Spinosa Kernel Oil, Paraffin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Alumina, Dimethicone/Vinyltrimethylsiloxysilicate Crosspolymer, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline Tocopheryl Acetate, Synthetic Wax, Calcium Sodium Borosilicate, Citronellol, Calcium Aluminum Borosilicate, Synthetic Fluorphlogopite, Barium Sulfate, Limonene, Colophonium/Rosin/Colophane, Geraniol, Magnesium Silicate, Silica, Benzyl Alcohol, Tocopherol, Linalool, Tin Oxide, Aluminum Hydroxide, Parfum/Fragrance [+/- May Contain/Peut Contenir CI 77891/Titanium Dioxide, CI 77491, CI 77492, CI 77499/Iron Oxides, CI 15850/Red 7 Mica, CI 45410/Red 28 Lake, CI 15985/Yellow 6 Lake, CI 42090/Blue 1 Lake, CI 15850 / Red 6, CI 17200/Red 33 Lake, CI 45380/Red 22 Lake, CI 77742/Manganese Violet, CI 15850/Red 7 Lake, CI 75470/Carmine, CI 19140/Yellow 5 Lake].",
pimprod2021061,2,Color Fetish Balm Lipstick,"FeaturesMedium-coverage buildable balm & lipstick in oneLuxurious, oil-infused texture feels amazing on lipsCruelty-FreeMade in the USABenefits85% blend of nourishing oils including Grape Seed, Apricot, Rose & Jojoba to seriously hydrate lipsGlides on effortlessly for next-level shine & moisture","Tied Up: Caprylic/Capric Triglyceride, Polybutene, Diisostearyl Malate, Hydrogenated Polyisobutene, Polyethylene, Dicalcium Phosphate, Microcrystalline Wax / Cera Microcristallina / Cire microcristalline, Limonene, Fragrance / Parfum, Citral, Linalool, Butyrospermum Parkii (Shea) Butter, Rosa Canina Fruit Oil, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Benzyl Benzoate, Aluminum Hydroxide, BHT, Mica, Titanium Dioxide (CI 77891), Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, 77942, 77499),","Clean Ingredients, Cruelty Free, Vegan, Give Back"
pimprod2022163,11,Be Legendary Prime & Plush Lipstick,"BenefitsMade with Primer Oil ComplexContains ceramides to smooth & moisturize lipsRich, gorgeous colorSatin finishStatement-making shades curated by Smashbox's pro make up artistsFormulated WithoutSLS/SLES, Parabens, Formaldehyde, Phthalates, Mineral Oil, Retinyl Palmitate, Triclosan, Triclocarban, Silicone","Stylist: Ricinus Communis (Castor) Seed Oil, Trioctyldodecyl Citrate, Diisostearyl Malate, Caprylic/Capric Triglyceride, Euphorbia Cerifera (Candelilla) Wax\Candelilla Cera\Cire De Candelilla, Ozokerite, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polydecene, Silica, Octyldodecanol, Microcrystalline Wax\Cera Microcristallina\Cire Microcristalline, Polyethylene, Tocopheryl Acetate, Squalane, Chamomilla Recutita (Matricaria) Flower Oil, Triticum Vulgare (Wheat) Germ Extract, Prunus Armeniaca (Apricot) Kernel Oil, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Glycine Soja (Soybean) Seed Extract, Tribehenin, Cholesterol, C12-15 Alkyl Benzoate, Polydecene, Ceramide Np, Ceramide Ng, Palmitoyl Hexapeptide-12, Peg-10 Phytosterol, Alumina, Aluminum Calcium Sodium Silicate, Calcium Aluminum Borosilicate, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Tin Oxide, Titanium/Titanium Dioxide, Linoleic Acid, Ethylhexyl Hydroxystearate, Flavor (Aroma), Saccharin, Vanillin, [+/- Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Bronze Powder (CI 77400), Copper Powder (CI 77400), Red 6 (CI 15850), Red 7 (CI 15850), Red 21 (CI 45380), Red 27 (CI 45410), Red 28 (CI 45410), Red 30 (CI 73360), Red 33 (CI 17200), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 21 Lake (CI 45380), Red 27 Lake (CI 45410), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Yellow 5 (CI 19140), Yellow 6 (CI 15985), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.","Clean Ingredients, Cruelty Free, Vegan, Sustainable Packaging Brand, Give Back"
pimprod2022183,15,COLORSPLURGE Risqué Crème Lipstick,"BenefitsNourishing ingredients plump, protect, soften and hydrate lipsMoisturizing formula smooths and restores fullness to lipsCreamy, highly pigmented color amplifies lips in a single sweepHead-turning shades level up all lips for all skin types and tonesParaben-freeKey IngredientsAn emollient-rich blend of Monoi de Tahiti and Jojoba Oils cushion lips in comfort and moisture.","Isostearyl Isostearate, Ricinus Communis (Castor) Seed Oil, Microcrystalline Wax (Cera Microcristallina), Cetyl Lactate, Isostearyl Palmitate, Caprylic/ Capric Triglyceride, Polyethylene, Euphorbia Cerifera (Candelilla) Wax (Candelilla Cera), Copernicia Cerifera (Carnauba) Wax (Carnauba Cera), Polyglyceryl-10 Pentaoleate, Hydrogenated Soybean Oil, Paraffin, Squalane, Helianthus Annuus (Sunflower) Seed Oil, Lauryl PCA, Pentaerythrityl Tetraisostearate, Silica Dimethyl Silylate, Sodium Chondroitin Sulfate, Atelocollagen, C12-15 Alkyl Benzoate, Tribehenin, Ceramide 2, Stearic Acid, PEG-10 Rapeseed Sterol, Palmitoyl Oligopeptide, Retinyl Palmitate, Tocopheryl Acetate, Tocopherol, Tetrahexyldecyl Ascorbate, Calcium Sodium Borosilicate, Silica, Synthetic Fluorphlogopite, Polyethylene Terephthalate, Acrylates Copolymer, Caprylyl Glycol, Fragrance (Parfum) May Contain Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Carmine (CI 75470), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 21 (CI 45380), Red 27 (CI 45410), Red 28 Lake (CI 45410), Red 33 Lake (CI 17200), Orange 5 (CI 45370), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090).",
pimprod2022188,15,COLORSPLURGE Risqué Matte Lipstick,"BenefitsModern matte formula is made to lastGlides on velvety smoothPampers lips with intense, long-lasting color for the boldest impactNon-drying formula hydrates and plumpsParaben-freeKey IngredientsSqualane and Sunflower oil hydrate for hours of lush, vibrant colorKaolin, a natural clay mineral, offers a smooth and creamy rich payoff for a powdery, velvety finish","Isostearyl Isostearate, Mica, Synthetic Wax, Pentaerythrityl Isostearate/Caprate/Caprylate/Adipate, Isononyl Isononanoate, Tridecyl Neopentanoate, Candelilla Cera/Euphorbia Cerifera (Candelilla) Wax/Cire De Candelilla, Kaolin, HDI/Trimethylol Hexyllactone Crosspolymer, Polyglyceryl-3 Diisostearate, Synthetic Beeswax, Silica.",
pimprod2022250,15,COLORSPLURGE Liquid Matte Lipstick,"BenefitsDrenches lips with high-pigment, statement-making color in a single swipeFormulated with advanced polymers to eliminate feathering and fadingLiquid-matte formula delivers lightweight color in a velvety matte finishLays down bold, highly pigmented color in a single swipeParaben-freeKey IngredientsVitamins C and E hydrate, nourish and deliver antioxidant protection","Isododecane, Octyldodecanol, Beeswax (Cera Alba), VP/Hexadecene Copolymer, Disteardimonium Hectorite, Cyclopentasiloxane, C18-36 Acid Triglyceride, Kaolin, Propylene Carbonate, Lecithin, Polybutene, Tocopherol, Tocopheryl Acetate, Ascorbyl Palmitate, Ethylhexylglycerin, Mica, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Polyethylene Terephthalate, Acrylates Copolymer, Silica, Tin Oxide, Phenoxyethanol May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Bismuth Oxychloride (CI 77163), Manganese Violet (CI 77742), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 21(CI 45380), Red 27 (CI 45410), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Orange 5 (CI 45370), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090).",
pimprod2023814,49,The Reds Cherry Velvety Matte Lipstick,Formulated WithoutParabensSulfates,,
pimprod2024074,59,Lady Bold Cream Lipstick,"BenefitsFully-loaded dramatic colorBold, smooth coverageFeaturesComfortable wearCreamy textureLightweight formulaCruelty free","Octyldodecanol, Pentaerythrityl Tetraisostearate, Polybutene, Polyglyceryl-2 Triisostearate, Dicalcium Phosphate, Microcrystalline Wax\Cera Microcristallina\Cire Microcristalline, Euphorbia Cerifera (Candelilla) Wax\Candelilla Cera\Cire De Candelilla, Bis-Diglyceryl Polyacyladipate-2, Silica, Fragrance (Parfum), Ozokerite, Caprylic/Capric Triglyceride, Cymbidium Grandiflorum Flower Extract, Polyhydroxystearic Acid, Disteardimonium Hectorite, Benzyl Alcohol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, [+/- Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Blue 1 Lake (CI 42090), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 28 Lake (CI 45410), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985)].",Cruelty Free
pimprod2024100,49,The Wines Velvety Matte Lipstick,Formulated WithoutParabensSulfates,,
pimprod2024101,49,The Berries Velvety Matte Lipstick,Formulated WithoutParabensSulfates,,
